"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 09월 11일","37,150","37,250","37,550","37,000","1.45M","-1.07%"
"2020년 09월 10일","37,550","37,600","38,000","37,550","0.26K","0.13%"
"2020년 09월 09일","37,500","37,150","37,750","37,050","1.32M","-0.79%"
"2020년 09월 08일","37,800","38,500","39,150","37,800","0.08K","-1.18%"
"2020년 09월 07일","38,250","37,250","38,500","37,000","0.09K","3.52%"
"2020년 09월 06일","36,950","36,950","36,950","36,950","-","0.00%"
"2020년 09월 04일","36,950","36,500","37,050","36,500","1.62M","-1.20%"
"2020년 09월 03일","37,400","38,000","38,250","37,300","0.04K","-0.80%"
"2020년 09월 02일","37,700","37,450","37,700","37,050","0.01K","0.80%"
"2020년 09월 01일","37,400","36,700","37,600","36,550","0.01K","1.49%"
"2020년 08월 31일","36,850","38,150","38,250","36,850","2.39K","-3.03%"
"2020년 08월 30일","38,000","38,000","38,000","38,000","-","0.00%"
"2020년 08월 28일","38,000","37,350","38,800","37,200","3.09M","2.84%"
"2020년 08월 27일","36,950","36,850","37,000","36,500","1.69K","-0.40%"
"2020년 08월 26일","37,100","37,650","37,850","36,800","1.13K","-2.24%"
"2020년 08월 25일","37,950","37,500","38,100","37,400","1.57K","2.71%"
"2020년 08월 24일","36,950","36,850","37,100","36,300","0.00K","0.54%"
"2020년 08월 23일","36,750","36,750","36,750","36,750","-","0.00%"
"2020년 08월 21일","36,750","36,800","37,200","36,300","1.67M","0.82%"
"2020년 08월 20일","36,450","38,050","38,050","36,300","0.37K","-4.08%"
"2020년 08월 19일","38,000","38,350","38,900","38,000","0.43K","-0.39%"
"2020년 08월 18일","38,150","39,750","39,850","38,050","1.19K","-4.15%"
"2020년 08월 17일","39,800","39,800","39,800","39,800","-","0.00%"
"2020년 08월 14일","39,800","40,850","41,000","39,750","2.57M","-4.10%"
"2020년 08월 13일","41,500","40,100","41,500","39,800","2.75K","2.85%"
"2020년 08월 12일","40,350","39,850","40,500","38,600","7.97K","3.99%"
"2020년 08월 11일","38,800","38,000","39,000","37,600","0.23K","4.44%"
"2020년 08월 10일","37,150","36,700","37,200","36,400","1.06K","2.77%"
"2020년 08월 09일","36,150","36,150","36,150","36,150","-","0.00%"
"2020년 08월 07일","36,150","36,700","36,700","35,800","1.66M","-1.09%"
"2020년 08월 06일","36,550","35,750","37,100","35,700","0.02K","2.96%"
"2020년 08월 05일","35,500","35,450","35,650","35,250","0.20K","0.00%"
"2020년 08월 04일","35,500","35,250","35,750","35,250","0.30K","0.71%"
"2020년 08월 03일","35,250","35,350","35,600","35,050","1.05M","0.00%"
"2020년 07월 31일","35,250","35,850","35,900","35,250","1.86M","-1.95%"
"2020년 07월 30일","35,950","36,550","36,800","35,750","0.71K","-0.69%"
"2020년 07월 29일","36,200","35,400","36,350","35,350","1.54M","1.40%"
"2020년 07월 28일","35,700","35,450","36,100","35,250","1.69K","0.71%"
"2020년 07월 27일","35,450","35,100","35,950","34,950","0.00K","0.14%"
"2020년 07월 26일","35,400","35,400","35,400","35,400","-","0.00%"
"2020년 07월 24일","35,400","35,450","35,800","35,150","1.57M","-1.26%"
"2020년 07월 23일","35,850","36,200","36,200","35,350","1.82M","-0.97%"
"2020년 07월 22일","36,200","37,400","37,900","36,150","2.59K","-1.36%"
"2020년 07월 21일","36,700","36,900","37,300","36,200","0.00K","-0.54%"
"2020년 07월 20일","36,900","35,600","37,000","35,300","2.42M","3.51%"
"2020년 07월 19일","35,650","35,650","35,650","35,650","-","0.00%"
"2020년 07월 17일","35,650","35,950","36,400","35,400","1.59M","-0.83%"
"2020년 07월 16일","35,950","36,000","36,550","35,650","1.72M","0.84%"
"2020년 07월 15일","35,650","35,250","36,450","35,200","2.78M","1.57%"
"2020년 07월 14일","35,100","35,200","35,350","34,850","971.08K","-0.71%"
"2020년 07월 13일","35,350","35,150","35,450","35,050","0.25K","4.12%"
"2020년 07월 10일","33,950","34,650","34,650","33,950","1.72M","-2.16%"
"2020년 07월 09일","34,700","35,000","35,050","34,650","2.33K","-1.00%"
"2020년 07월 08일","35,050","35,700","35,700","35,000","0.08K","-2.09%"
"2020년 07월 07일","35,800","35,850","36,100","35,300","0.40K","0.14%"
"2020년 07월 06일","35,750","34,850","35,750","34,500","1.92M","2.73%"
"2020년 07월 05일","34,800","34,800","34,800","34,800","-","0.00%"
"2020년 07월 03일","34,800","34,750","35,000","34,500","1.03M","1.02%"
"2020년 07월 02일","34,450","34,350","34,800","34,300","1.22M","0.15%"
"2020년 07월 01일","34,400","34,000","34,900","33,850","0.06K","1.33%"
"2020년 06월 30일","33,950","34,200","34,500","33,800","2.13M","0.15%"
"2020년 06월 29일","33,900","33,850","34,050","33,500","0.02K","-2.59%"
"2020년 06월 28일","34,800","34,800","34,800","34,800","-","0.00%"
"2020년 06월 26일","34,800","34,350","35,150","34,200","1.89M","3.11%"
"2020년 06월 25일","33,750","33,900","34,200","33,750","1.90M","-3.30%"
"2020년 06월 24일","34,900","34,800","35,200","34,550","0.03K","0.58%"
"2020년 06월 23일","34,700","35,050","35,300","34,150","1.86M","-0.43%"
"2020년 06월 22일","34,850","35,400","35,750","34,800","0.03K","-3.19%"
"2020년 06월 21일","36,000","36,000","36,000","36,000","-","0.00%"
"2020년 06월 19일","36,000","36,100","36,250","35,100","3.54M","2.13%"
"2020년 06월 18일","35,250","34,450","35,650","34,350","0.01K","0.71%"
"2020년 06월 17일","35,000","34,650","35,000","34,400","0.25K","-1.96%"
"2020년 06월 16일","35,700","34,000","35,850","34,000","2.22M","7.37%"
"2020년 06월 15일","33,250","34,300","35,600","33,250","0.01K","-4.04%"
"2020년 06월 14일","34,650","34,650","34,650","34,650","-","0.00%"
"2020년 06월 12일","34,650","34,250","35,050","34,100","3.70M","-4.68%"
"2020년 06월 11일","36,350","36,400","36,700","35,550","0.16K","-3.20%"
"2020년 06월 10일","37,550","38,100","38,200","37,400","0.63K","-2.47%"
"2020년 06월 09일","38,500","38,200","38,950","37,700","0.24K","0.79%"
"2020년 06월 08일","38,200","39,400","39,400","37,900","2.83M","0.39%"
