"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2014년 02월 07일","37,100","37,000","37,100","36,600","919.59K","0.68%"
"2014년 02월 06일","36,850","36,350","36,850","36,350","778.86K","1.52%"
"2014년 02월 05일","36,300","36,450","36,650","36,100","1.15M","0.69%"
"2014년 02월 04일","36,050","35,550","36,050","35,350","1.40M","-0.28%"
"2014년 02월 03일","36,150","36,200","36,850","35,750","1.88M","-2.82%"
"2014년 02월 02일","37,200","37,200","37,200","37,200","-","0.00%"
"2014년 01월 29일","37,200","36,050","37,350","36,050","2.48M","3.62%"
"2014년 01월 28일","35,900","36,900","36,900","35,900","2.75M","-2.58%"
"2014년 01월 27일","36,850","37,200","37,300","36,400","2.44M","-2.51%"
"2014년 01월 26일","37,800","37,800","37,800","37,800","-","0.00%"
"2014년 01월 24일","37,800","37,600","38,250","37,250","2.05M","0.00%"
"2014년 01월 23일","37,800","38,450","38,800","37,750","1.71M","-2.33%"
"2014년 01월 22일","38,700","39,250","39,550","38,200","1.33M","-1.40%"
"2014년 01월 21일","39,250","39,050","39,400","38,800","1.06M","0.51%"
"2014년 01월 20일","39,050","38,800","39,050","38,400","785.11K","-0.13%"
"2014년 01월 19일","39,100","39,100","39,100","39,100","-","0.00%"
"2014년 01월 17일","39,100","39,750","39,750","39,000","588.71K","-1.01%"
"2014년 01월 16일","39,500","40,050","40,250","39,400","722.24K","-1.25%"
"2014년 01월 15일","40,000","39,500","40,050","39,400","704.03K","1.78%"
"2014년 01월 14일","39,300","39,700","39,950","39,000","730.50K","-1.38%"
"2014년 01월 13일","39,850","39,800","40,100","39,650","527.18K","0.63%"
"2014년 01월 12일","39,600","39,600","39,600","39,600","-","0.00%"
"2014년 01월 10일","39,600","40,450","40,650","39,500","780.21K","-2.46%"
"2014년 01월 09일","40,600","40,900","41,250","40,400","847.00K","-0.37%"
"2014년 01월 08일","40,750","40,450","41,400","40,200","732.46K","1.12%"
"2014년 01월 07일","40,300","40,050","40,650","39,850","621.83K","0.12%"
"2014년 01월 06일","40,250","40,650","40,900","39,950","817.07K","-1.11%"
"2014년 01월 05일","40,700","40,700","40,700","40,700","-","0.00%"
"2014년 01월 03일","40,700","41,750","41,850","40,250","1.03M","-3.33%"
"2014년 01월 02일","42,100","42,600","43,150","41,450","1.12M","-0.36%"
"2013년 12월 31일","42,250","41,050","42,450","41,050","1.34M","0.00%"
"2013년 12월 30일","42,250","41,050","42,450","41,050","1.34M","2.18%"
"2013년 12월 29일","41,350","41,350","41,350","41,350","-","0.00%"
"2013년 12월 27일","41,350","41,000","41,450","40,450","819.26K","0.24%"
"2013년 12월 26일","41,250","41,200","41,250","40,700","1.05M","0.73%"
"2013년 12월 25일","40,950","40,950","40,950","40,950","-","0.00%"
"2013년 12월 24일","40,950","41,300","41,550","40,400","1.28M","-0.12%"
"2013년 12월 23일","41,000","40,950","41,650","40,750","1.01M","1.23%"
"2013년 12월 20일","40,500","39,750","40,900","39,750","915.79K","1.38%"
"2013년 12월 19일","39,950","40,400","40,750","39,750","904.83K","0.00%"
"2013년 12월 18일","39,950","39,350","40,200","39,200","1.23M","1.78%"
"2013년 12월 17일","39,250","38,800","39,250","38,650","439.16K","1.16%"
"2013년 12월 16일","38,800","38,800","39,250","38,500","579.60K","-1.40%"
"2013년 12월 15일","39,350","39,350","39,350","39,350","-","0.00%"
"2013년 12월 13일","39,350","38,750","39,350","38,050","600.95K","0.13%"
"2013년 12월 12일","39,300","39,150","39,500","38,800","724.34K","-0.13%"
"2013년 12월 11일","39,350","39,800","39,900","39,100","800.42K","-2.48%"
"2013년 12월 10일","40,350","40,550","40,550","39,950","688.32K","0.25%"
"2013년 12월 09일","40,250","40,000","40,350","39,700","945.83K","2.16%"
"2013년 12월 08일","39,400","39,400","39,400","39,400","-","0.00%"
"2013년 12월 06일","39,400","39,450","39,600","39,000","399.27K","0.00%"
"2013년 12월 05일","39,400","39,450","39,700","38,650","877.39K","-0.63%"
"2013년 12월 04일","39,650","39,900","39,900","39,300","539.31K","-0.63%"
"2013년 12월 03일","39,900","39,700","40,050","39,350","583.17K","-0.25%"
"2013년 12월 02일","40,000","40,300","41,250","39,900","657.25K","0.76%"
"2013년 12월 01일","39,700","39,700","39,700","39,700","-","0.00%"
"2013년 11월 29일","39,700","39,400","39,800","39,400","546.60K","0.00%"
"2013년 11월 28일","39,700","39,500","39,850","39,200","709.65K","0.63%"
"2013년 11월 27일","39,450","39,750","39,750","39,100","890.09K","-0.75%"
"2013년 11월 26일","39,750","40,000","40,000","39,000","792.93K","-0.87%"
"2013년 11월 25일","40,100","39,750","40,550","39,650","808.04K","0.38%"
"2013년 11월 22일","39,950","39,900","40,300","39,700","555.93K","0.25%"
"2013년 11월 21일","39,850","39,950","40,050","39,300","718.89K","-0.87%"
"2013년 11월 20일","40,200","39,950","40,500","39,700","875.07K","-0.25%"
"2013년 11월 19일","40,300","39,550","40,900","39,550","780.84K","0.50%"
"2013년 11월 18일","40,100","39,650","40,250","39,150","940.99K","0.38%"
"2013년 11월 15일","39,950","38,900","40,300","38,750","1.72M","4.04%"
"2013년 11월 14일","38,400","38,750","39,000","38,000","1.37M","-0.90%"
"2013년 11월 13일","38,750","39,550","39,850","38,000","1.15M","-1.77%"
"2013년 11월 12일","39,450","39,700","39,950","39,150","682.49K","0.77%"
"2013년 11월 11일","39,150","39,450","39,950","39,150","543.93K","-0.76%"
"2013년 11월 08일","39,450","40,000","40,000","38,950","948.92K","-0.63%"
"2013년 11월 07일","39,700","40,200","40,200","39,350","559.02K","-0.63%"
"2013년 11월 06일","39,950","40,000","40,000","39,300","673.51K","0.00%"
"2013년 11월 05일","39,950","39,900","40,500","39,700","673.01K","-0.75%"
"2013년 11월 04일","40,250","41,150","41,150","39,700","1.35M","-2.19%"
"2013년 11월 01일","41,150","41,800","41,900","40,800","1.04M","-2.02%"
"2013년 10월 31일","42,000","41,950","42,300","41,050","967.31K","-0.94%"
"2013년 10월 30일","42,400","41,750","42,650","41,200","1.13M","2.17%"
"2013년 10월 29일","41,500","41,200","41,800","40,650","1.03M","-0.24%"
"2013년 10월 28일","41,600","41,450","41,850","40,800","1.43M","-0.95%"
"2013년 10월 25일","42,000","42,000","42,200","41,300","1.08M","-0.47%"
"2013년 10월 24일","42,200","41,700","42,250","41,250","1.20M","1.93%"
"2013년 10월 23일","41,400","42,600","42,900","41,300","2.07M","-3.50%"
"2013년 10월 22일","42,900","43,000","43,250","42,650","1.67M","-0.92%"
"2013년 10월 21일","43,300","43,950","44,250","42,900","1.49M","-1.48%"
"2013년 10월 18일","43,950","42,500","43,950","42,500","1.72M","2.45%"
"2013년 10월 17일","42,900","42,250","43,150","41,950","2.88M","3.00%"
"2013년 10월 16일","41,650","40,100","41,950","40,000","2.53M","3.87%"
"2013년 10월 15일","40,100","39,500","40,200","39,500","981.45K","1.01%"
"2013년 10월 14일","39,700","39,700","40,200","39,650","959.01K","-0.63%"
"2013년 10월 11일","39,950","38,250","39,950","38,100","3.55M","5.97%"
"2013년 10월 10일","37,700","38,500","38,600","37,600","933.80K","-1.69%"
"2013년 10월 08일","38,350","38,500","38,550","37,750","595.30K","-0.78%"
"2013년 10월 07일","38,650","38,450","38,950","38,150","951.80K","0.52%"
"2013년 10월 04일","38,450","39,000","39,000","38,450","1.25M","0.65%"
"2013년 10월 02일","38,200","38,450","38,650","38,100","831.35K","0.53%"
"2013년 10월 01일","38,000","37,300","38,350","37,300","1.10M","1.06%"
"2013년 09월 30일","37,600","38,550","38,550","37,600","1.17M","-2.46%"
"2013년 09월 27일","38,550","38,900","39,050","38,350","1.12M","-0.13%"
"2013년 09월 26일","38,600","38,050","38,750","37,750","869.02K","1.45%"
"2013년 09월 25일","38,050","38,800","38,850","37,900","1.04M","-1.42%"
"2013년 09월 24일","38,600","38,350","38,700","37,950","837.94K","-0.52%"
"2013년 09월 23일","38,800","38,250","39,050","37,650","1.93M","1.97%"
"2013년 09월 17일","38,050","37,650","38,200","37,500","1.37M","1.06%"
"2013년 09월 16일","37,650","37,500","37,950","37,350","1.35M","1.48%"
"2013년 09월 13일","37,100","36,900","37,300","36,600","985.85K","0.54%"
"2013년 09월 12일","36,900","37,100","37,550","36,900","1.47M","-0.94%"
"2013년 09월 11일","37,250","36,950","37,250","36,800","1.08M","0.81%"
"2013년 09월 10일","36,950","36,900","37,150","31,100","1.84M","1.09%"
"2013년 09월 09일","36,550","36,400","36,800","36,300","1.46M","2.09%"
"2013년 09월 06일","35,800","36,300","36,350","35,700","786.23K","-0.83%"
"2013년 09월 05일","36,100","36,000","36,350","35,750","1.02M","0.28%"
"2013년 09월 04일","36,000","35,800","36,350","35,650","931.82K","-0.55%"
"2013년 09월 03일","36,200","35,600","36,250","35,600","1.30M","1.97%"
"2013년 09월 02일","35,500","35,500","35,850","35,400","744.94K","-0.56%"
"2013년 08월 30일","35,700","35,100","35,800","35,100","1.64M","2.00%"
"2013년 08월 29일","35,000","34,150","35,250","34,150","1.74M","2.49%"
"2013년 08월 28일","34,150","34,000","34,150","33,700","783.20K","-0.87%"
"2013년 08월 27일","34,450","34,400","34,600","34,250","1.10M","-0.72%"
"2013년 08월 26일","34,700","34,600","35,200","34,550","772.78K","-0.57%"
"2013년 08월 23일","34,900","34,350","35,000","34,300","845.24K","0.29%"
"2013년 08월 22일","34,800","34,900","35,250","34,600","1.16M","-1.69%"
"2013년 08월 21일","35,400","35,700","35,900","35,050","829.10K","-0.70%"
"2013년 08월 20일","35,650","35,600","36,200","35,450","848.36K","0.00%"
"2013년 08월 19일","35,650","35,650","36,050","35,450","885.94K","-0.83%"
"2013년 08월 16일","35,950","35,950","36,100","35,650","511.62K","-0.42%"
"2013년 08월 14일","36,100","36,350","36,350","35,750","929.90K","-0.14%"
"2013년 08월 13일","36,150","36,100","36,400","35,850","773.76K","0.00%"
"2013년 08월 12일","36,150","36,150","36,500","35,850","685.28K","-1.09%"
"2013년 08월 09일","36,550","36,000","36,900","35,650","979.89K","0.41%"
"2013년 08월 08일","36,400","35,900","36,700","35,850","643.08K","1.39%"
"2013년 08월 07일","35,900","36,050","36,200","35,850","751.28K","-1.78%"
"2013년 08월 06일","36,550","36,500","36,700","35,800","831.74K","-0.41%"
"2013년 08월 05일","36,700","36,750","37,000","36,550","478.28K","-0.27%"
"2013년 08월 02일","36,800","36,800","37,700","36,550","1.84M","1.52%"
"2013년 08월 01일","36,250","35,950","36,550","35,300","1.44M","1.83%"
"2013년 07월 31일","35,600","35,600","36,100","35,300","1.43M","-0.70%"
"2013년 07월 30일","35,850","35,600","36,050","35,300","545.97K","0.99%"
"2013년 07월 29일","35,500","35,200","35,700","35,100","548.98K","-0.42%"
"2013년 07월 26일","35,650","35,600","36,000","35,400","453.55K","-0.28%"
"2013년 07월 25일","35,750","36,100","36,100","35,500","548.07K","-1.11%"
"2013년 07월 24일","36,150","35,950","36,150","35,800","790.95K","0.42%"
"2013년 07월 23일","36,000","35,350","36,050","35,250","2.37M","3.30%"
"2013년 07월 22일","34,850","34,750","35,000","34,250","962.86K","0.72%"
"2013년 07월 19일","34,600","34,250","34,600","33,900","1.16M","1.47%"
"2013년 07월 18일","34,100","34,250","34,250","33,900","1.00M","-1.16%"
"2013년 07월 17일","34,500","34,350","34,900","33,750","3.16M","-1.29%"
"2013년 07월 16일","34,950","35,000","35,400","34,650","959.79K","-0.71%"
"2013년 07월 15일","35,200","35,100","35,450","34,550","623.68K","-0.71%"
"2013년 07월 12일","35,450","35,100","35,600","34,850","882.96K","0.42%"
"2013년 07월 11일","35,300","35,000","35,450","34,450","2.13M","3.07%"
"2013년 07월 10일","34,250","34,200","34,250","33,600","759.44K","0.59%"
"2013년 07월 09일","34,050","34,200","34,200","33,700","816.03K","-0.15%"
"2013년 07월 08일","34,100","33,050","34,100","33,050","1.54M","3.33%"
"2013년 07월 05일","33,000","33,100","33,450","33,000","864.05K","1.23%"
"2013년 07월 04일","32,600","32,800","32,950","32,450","1.32M","-0.61%"
"2013년 07월 03일","32,800","33,800","34,200","32,650","2.13M","-2.96%"
"2013년 07월 02일","33,800","33,950","34,150","33,600","1.23M","-0.15%"
"2013년 07월 01일","33,850","33,900","34,150","33,750","1.22M","-1.02%"
"2013년 06월 28일","34,200","33,850","34,350","33,800","1.40M","1.03%"
"2013년 06월 27일","33,850","33,550","34,000","33,550","2.28M","0.59%"
"2013년 06월 26일","33,650","34,050","34,250","33,550","2.00M","-1.03%"
"2013년 06월 25일","34,000","33,600","34,800","33,550","1.60M","0.00%"
"2013년 06월 24일","34,000","34,200","34,550","33,750","866.05K","-1.16%"
"2013년 06월 21일","34,400","34,200","34,950","34,150","1.21M","-1.85%"
"2013년 06월 20일","35,050","35,350","35,350","34,800","1.14M","-1.41%"
"2013년 06월 19일","35,550","35,550","35,650","35,200","739.84K","-0.28%"
"2013년 06월 18일","35,650","35,600","35,850","35,350","702.82K","-0.28%"
"2013년 06월 17일","35,750","35,600","35,750","35,350","808.78K","0.00%"
"2013년 06월 14일","35,750","35,550","35,900","35,400","836.01K","0.28%"
"2013년 06월 13일","35,650","36,000","36,200","35,500","1.51M","-1.66%"
"2013년 06월 12일","36,250","36,400","36,650","36,100","763.28K","-0.68%"
"2013년 06월 11일","36,500","36,750","36,750","36,300","669.32K","-0.27%"
"2013년 06월 10일","36,600","36,350","36,650","36,200","525.33K","0.97%"
"2013년 06월 07일","36,250","36,950","37,150","36,200","1.10M","0.14%"
"2013년 06월 05일","36,200","37,050","37,050","36,200","1.54M","-1.76%"
"2013년 06월 04일","36,850","37,200","37,350","36,850","665.69K","-0.94%"
"2013년 06월 03일","37,200","37,200","37,450","36,900","901.53K","0.68%"
"2013년 05월 31일","36,950","37,450","37,750","36,950","893.60K","-1.47%"
"2013년 05월 30일","37,500","37,350","37,700","37,200","941.64K","-0.27%"
"2013년 05월 29일","37,600","37,450","37,650","37,350","1.32M","0.40%"
"2013년 05월 28일","37,450","37,500","37,500","37,100","505.94K","0.13%"
"2013년 05월 27일","37,400","37,100","37,500","37,000","501.05K","0.27%"
"2013년 05월 24일","37,300","37,450","37,600","36,950","1.09M","1.22%"
"2013년 05월 23일","36,850","37,300","37,300","36,650","650.80K","-1.34%"
"2013년 05월 22일","37,350","37,250","37,500","37,100","837.55K","0.95%"
"2013년 05월 21일","37,000","37,350","37,450","36,900","734.21K","-0.94%"
"2013년 05월 20일","37,350","37,300","37,400","36,900","1.01M","1.22%"
"2013년 05월 16일","36,900","36,550","37,250","36,500","1.65M","0.96%"
"2013년 05월 15일","36,550","36,600","36,750","36,200","1.32M","0.97%"
"2013년 05월 14일","36,200","35,850","36,350","35,850","822.06K","0.84%"
"2013년 05월 13일","35,900","36,100","36,350","35,800","473.91K","-0.69%"
"2013년 05월 10일","36,150","36,400","37,000","36,000","1.79M","-0.28%"
"2013년 05월 09일","36,250","35,550","36,450","35,350","1.84M","3.13%"
"2013년 05월 08일","35,150","35,400","35,750","35,150","997.09K","-0.28%"
"2013년 05월 07일","35,250","35,200","35,450","34,950","694.18K","0.14%"
"2013년 05월 06일","35,200","35,300","35,550","35,100","679.32K","0.86%"
"2013년 05월 03일","34,900","35,100","35,250","34,750","1.00M","-0.85%"
"2013년 05월 02일","35,200","36,000","36,000","34,800","1.66M","-2.22%"
"2013년 04월 30일","36,000","35,500","36,000","35,450","1.33M","2.42%"
"2013년 04월 29일","35,150","35,150","35,400","34,900","670.87K","-0.57%"
"2013년 04월 26일","35,350","35,300","35,400","35,050","797.99K","-0.56%"
"2013년 04월 25일","35,550","35,950","35,950","35,350","1.15M","-0.70%"
"2013년 04월 24일","35,800","35,850","35,950","35,500","903.38K","0.14%"
"2013년 04월 23일","35,750","35,750","35,950","35,400","835.77K","0.00%"
"2013년 04월 22일","35,750","35,000","35,900","35,000","949.82K","1.71%"
"2013년 04월 19일","35,150","35,000","35,600","34,900","833.42K","0.86%"
"2013년 04월 18일","34,850","34,700","35,100","34,500","1.12M","-0.99%"
"2013년 04월 17일","35,200","35,450","35,550","34,850","1.42M","-0.98%"
"2013년 04월 16일","35,550","35,400","36,000","35,250","838.20K","-0.70%"
"2013년 04월 15일","35,800","36,050","36,100","35,400","1.03M","-1.38%"
"2013년 04월 12일","36,300","37,000","37,200","36,150","816.15K","-1.49%"
"2013년 04월 11일","36,850","36,700","36,900","36,500","670.36K","1.10%"
"2013년 04월 10일","36,450","37,150","37,150","36,300","890.29K","1.25%"
"2013년 04월 09일","36,000","35,700","36,350","35,700","1.18M","-0.41%"
"2013년 04월 08일","36,150","36,300","36,350","35,700","898.36K","-0.14%"
"2013년 04월 05일","36,200","36,550","36,650","36,100","1.26M","-2.16%"
"2013년 04월 04일","37,000","37,350","37,400","36,450","1.16M","-1.07%"
"2013년 04월 03일","37,400","37,400","37,400","37,000","757.61K","0.27%"
"2013년 04월 02일","37,300","37,550","37,850","36,650","2.02M","-0.13%"
"2013년 04월 01일","37,350","37,500","37,750","37,250","594.35K","-0.40%"
"2013년 03월 29일","37,500","37,500","38,000","37,350","1.12M","1.35%"
"2013년 03월 28일","37,000","36,950","37,250","36,750","1.18M","0.00%"
"2013년 03월 27일","37,000","36,950","37,200","36,650","961.61K","0.68%"
"2013년 03월 26일","36,750","36,750","37,050","36,550","968.33K","-0.14%"
"2013년 03월 25일","36,800","36,500","37,100","36,450","1.90M","1.52%"
"2013년 03월 22일","36,250","35,950","36,650","35,950","1.04M","0.28%"
"2013년 03월 21일","36,150","36,750","36,850","35,850","1.86M","-1.09%"
"2013년 03월 20일","36,550","37,200","37,200","36,500","1.91M","-2.27%"
"2013년 03월 19일","37,400","37,600","37,700","37,200","1.43M","-0.80%"
"2013년 03월 18일","37,700","37,800","38,100","37,600","1.04M","-0.79%"
"2013년 03월 15일","38,000","38,050","38,350","37,700","1.15M","-0.52%"
"2013년 03월 14일","38,200","38,000","38,200","37,500","984.79K","0.39%"
"2013년 03월 13일","38,050","38,050","38,400","37,800","1.21M","-0.91%"
"2013년 03월 12일","38,400","38,700","38,950","38,400","664.90K","-0.78%"
"2013년 03월 11일","38,700","39,000","39,000","38,300","1.16M","-0.77%"
"2013년 03월 08일","39,000","39,050","39,250","38,700","1.07M","0.00%"
"2013년 03월 07일","39,000","39,250","39,300","38,800","1.22M","-0.64%"
"2013년 03월 06일","39,250","39,500","39,750","39,250","1.63M","1.03%"
"2013년 03월 05일","38,850","39,250","39,500","38,650","1.41M","-0.89%"
"2013년 03월 04일","39,200","39,500","39,950","39,150","1.58M","-0.76%"
"2013년 02월 28일","39,500","39,050","39,550","38,900","2.11M","1.67%"
"2013년 02월 27일","38,850","38,750","39,000","38,500","870.29K","0.26%"
"2013년 02월 26일","38,750","38,650","38,800","38,400","969.82K","-0.64%"
"2013년 02월 25일","39,000","38,900","39,050","38,600","975.72K","0.91%"
"2013년 02월 22일","38,650","38,300","39,050","38,200","1.45M","0.39%"
"2013년 02월 21일","38,500","38,400","38,850","38,050","1.60M","-0.52%"
"2013년 02월 20일","38,700","37,700","38,850","37,700","2.96M","3.06%"
"2013년 02월 19일","37,550","37,250","37,600","37,250","1.16M","0.54%"
"2013년 02월 18일","37,350","37,050","37,400","37,050","1.54M","0.40%"
"2013년 02월 15일","37,200","37,450","37,650","37,050","3.67M","-2.11%"
"2013년 02월 14일","38,000","38,450","38,500","37,700","1.65M","-0.52%"
"2013년 02월 13일","38,200","37,800","38,600","37,800","903.30K","1.33%"
"2013년 02월 12일","37,700","37,600","38,150","37,450","541.78K","0.40%"
"2013년 02월 08일","37,550","37,300","37,850","37,200","1.08M","0.67%"
"2013년 02월 07일","37,300","37,400","37,900","37,200","782.33K","-1.32%"
"2013년 02월 06일","37,800","38,100","38,150","37,400","1.58M","-0.92%"
"2013년 02월 05일","38,150","37,750","38,300","37,700","1.30M","-1.42%"
"2013년 02월 04일","38,700","39,300","39,400","38,700","732.15K","-0.26%"
"2013년 02월 01일","38,800","38,550","38,850","38,250","1.14M","-0.26%"
"2013년 01월 31일","38,900","39,250","39,450","38,350","2.18M","-2.38%"
"2013년 01월 30일","39,850","39,900","40,050","39,400","861.80K","-0.13%"
"2013년 01월 29일","39,900","40,400","40,750","39,600","1.48M","-2.09%"
"2013년 01월 28일","40,750","39,800","40,950","39,500","2.37M","3.16%"
"2013년 01월 25일","39,500","39,450","39,650","38,950","1.22M","0.25%"
"2013년 01월 24일","39,400","39,500","39,550","38,950","935.28K","-0.25%"
"2013년 01월 23일","39,500","39,950","40,150","39,500","850.89K","-1.50%"
"2013년 01월 22일","40,100","40,050","40,350","39,800","960.73K","0.25%"
"2013년 01월 21일","40,000","39,150","40,200","39,100","1.43M","1.52%"
"2013년 01월 18일","39,400","39,250","39,650","39,050","1.02M","1.42%"
"2013년 01월 17일","38,850","38,800","38,900","38,500","636.58K","0.91%"
"2013년 01월 16일","38,500","38,500","38,900","38,200","783.62K","0.79%"
"2013년 01월 15일","38,200","38,300","39,150","38,150","746.69K","-1.55%"
"2013년 01월 14일","38,800","37,650","38,850","37,650","1.07M","2.51%"
"2013년 01월 11일","37,850","38,350","38,550","37,800","590.75K","-1.05%"
"2013년 01월 10일","38,250","38,000","38,300","37,550","884.77K","0.13%"
"2013년 01월 09일","38,200","38,500","38,700","37,950","1.21M","-1.42%"
"2013년 01월 08일","38,750","39,450","39,600","38,750","1.10M","-2.76%"
"2013년 01월 07일","39,850","39,350","39,850","39,200","1.15M","1.79%"
"2013년 01월 04일","39,150","38,900","39,300","38,800","1.03M","-0.38%"
"2013년 01월 03일","39,300","39,000","39,450","38,400","1.86M","1.29%"
"2013년 01월 02일","38,800","38,300","39,000","38,050","1.40M","2.37%"
"2012년 12월 28일","37,900","37,200","38,050","37,200","953.85K","0.80%"
"2012년 12월 27일","37,600","37,500","37,600","36,950","1.05M","-0.53%"
"2012년 12월 26일","37,800","38,000","38,050","37,700","796.42K","0.00%"
"2012년 12월 24일","37,800","38,200","38,200","37,500","945.48K","-1.05%"
"2012년 12월 21일","38,200","38,500","38,800","37,750","1.43M","-0.39%"
"2012년 12월 20일","38,350","37,100","38,400","37,100","2.90M","0.39%"
"2012년 12월 18일","38,200","37,600","38,250","37,600","1.35M","1.73%"
"2012년 12월 17일","37,550","37,700","38,050","37,500","1.01M","-0.40%"
"2012년 12월 14일","37,700","37,400","37,700","37,150","1.09M","0.00%"
"2012년 12월 13일","37,700","36,350","37,700","36,300","2.64M","2.72%"
"2012년 12월 12일","36,700","36,350","36,800","36,250","1.60M","0.96%"
"2012년 12월 11일","36,350","35,750","36,600","35,600","1.86M","1.11%"
"2012년 12월 10일","35,950","35,300","35,950","35,250","1.03M","-0.55%"
"2012년 12월 07일","36,150","36,150","36,350","35,900","765.92K","0.42%"
"2012년 12월 06일","36,000","35,400","36,200","35,200","1.78M","0.98%"
"2012년 12월 05일","35,650","35,400","35,900","35,200","826.40K","1.13%"
"2012년 12월 04일","35,250","35,350","35,450","35,100","565.31K","-1.26%"
"2012년 12월 03일","35,700","35,300","35,900","35,300","558.79K","0.14%"
"2012년 11월 30일","35,650","35,150","36,200","35,000","1.65M","0.85%"
"2012년 11월 29일","35,350","34,550","35,450","34,450","1.09M","2.91%"
"2012년 11월 28일","34,350","34,300","34,700","34,000","1.60M","-2.00%"
"2012년 11월 27일","35,050","34,450","35,300","34,450","1.12M","1.59%"
"2012년 11월 26일","34,500","34,850","34,850","34,350","687.86K","-1.00%"
"2012년 11월 23일","34,850","34,600","34,900","34,350","729.53K","-0.14%"
"2012년 11월 22일","34,900","34,650","35,100","34,450","825.35K","1.60%"
"2012년 11월 21일","34,350","34,700","34,750","33,900","1.27M","-1.58%"
"2012년 11월 20일","34,900","35,150","35,250","34,750","622.82K","0.29%"
"2012년 11월 19일","34,800","34,950","35,150","34,800","717.27K","-0.14%"
"2012년 11월 16일","34,850","34,950","35,200","34,700","633.43K","-0.29%"
"2012년 11월 15일","34,950","35,000","35,250","34,550","1.04M","-0.57%"
"2012년 11월 14일","35,150","35,500","35,650","35,150","934.72K","-0.71%"
"2012년 11월 13일","35,400","35,800","35,800","35,150","605.47K","-0.84%"
"2012년 11월 12일","35,700","35,600","35,750","35,200","901.11K","-0.56%"
"2012년 11월 09일","35,900","35,650","36,200","35,350","851.25K","-0.69%"
"2012년 11월 08일","36,150","36,250","36,650","35,700","1.75M","-2.03%"
"2012년 11월 07일","36,900","37,200","37,400","36,450","1.01M","-0.94%"
"2012년 11월 06일","37,250","36,700","37,400","36,600","770.38K","0.68%"
"2012년 11월 05일","37,000","37,400","37,450","36,800","531.47K","-0.54%"
"2012년 11월 02일","37,200","36,700","37,200","36,300","752.13K","2.76%"
"2012년 11월 01일","36,200","36,700","37,050","36,100","1.34M","-2.43%"
"2012년 10월 31일","37,100","37,200","37,500","36,900","672.01K","0.13%"
"2012년 10월 30일","37,050","37,250","37,750","37,050","814.35K","-2.11%"
"2012년 10월 29일","37,850","37,050","37,900","37,050","680.63K","2.30%"
"2012년 10월 26일","37,000","37,200","37,950","37,000","804.80K","-0.80%"
"2012년 10월 25일","37,300","37,300","37,600","36,850","1.03M","-1.19%"
"2012년 10월 24일","37,750","37,650","38,200","37,450","780.58K","-0.92%"
"2012년 10월 23일","38,100","38,700","38,850","37,450","1.34M","-2.31%"
"2012년 10월 22일","39,000","38,500","39,000","38,050","560.85K","0.00%"
"2012년 10월 19일","39,000","39,600","39,600","38,950","594.24K","-0.64%"
"2012년 10월 18일","39,250","38,950","39,450","38,850","1.11M","1.29%"
"2012년 10월 17일","38,750","38,300","38,850","38,250","622.03K","1.44%"
"2012년 10월 16일","38,200","38,100","38,550","37,650","736.93K","1.19%"
"2012년 10월 15일","37,750","37,100","38,050","37,000","760.01K","0.67%"
"2012년 10월 12일","37,500","37,550","37,650","37,150","886.95K","0.94%"
"2012년 10월 11일","37,150","37,100","37,550","36,950","896.43K","-0.67%"
"2012년 10월 10일","37,400","37,500","37,650","37,000","1.31M","-1.84%"
"2012년 10월 09일","38,100","38,350","38,500","38,050","462.86K","0.00%"
"2012년 10월 08일","38,100","38,450","38,500","37,900","904.93K","-1.04%"
"2012년 10월 05일","38,500","38,750","38,950","38,450","739.63K","-0.26%"
"2012년 10월 04일","38,600","38,650","39,150","38,050","1.48M","-1.66%"
"2012년 10월 02일","39,250","39,300","40,150","39,150","638.24K","-1.13%"
"2012년 09월 28일","39,700","39,700","39,900","39,100","647.36K","0.51%"
"2012년 09월 27일","39,500","39,500","40,000","39,150","709.54K","0.00%"
"2012년 09월 26일","39,500","39,300","39,750","39,000","844.22K","-0.75%"
"2012년 09월 25일","39,800","39,700","40,200","39,500","727.75K","-0.25%"
"2012년 09월 24일","39,900","40,350","40,500","39,600","1.42M","-2.80%"
"2012년 09월 21일","41,050","41,300","41,700","40,550","934.84K","-0.85%"
"2012년 09월 20일","41,400","41,200","41,850","41,150","639.08K","-0.60%"
"2012년 09월 19일","41,650","40,850","41,850","40,500","1.21M","1.22%"
"2012년 09월 18일","41,150","41,050","41,200","40,450","1.11M","-0.12%"
"2012년 09월 17일","41,200","40,850","41,750","40,650","2.13M","1.73%"
"2012년 09월 14일","40,500","40,300","40,800","39,850","3.11M","4.25%"
"2012년 09월 13일","38,850","38,500","39,200","38,400","1.21M","-0.38%"
"2012년 09월 12일","39,000","38,450","39,250","38,350","1.46M","2.23%"
"2012년 09월 11일","38,150","38,050","38,200","37,900","959.33K","-0.52%"
"2012년 09월 10일","38,350","38,600","39,250","38,350","1.68M","0.26%"
"2012년 09월 07일","38,250","38,500","38,600","37,800","2.79M","4.79%"
"2012년 09월 06일","36,500","36,100","36,550","35,950","704.67K","0.55%"
"2012년 09월 05일","36,300","36,600","36,800","36,050","858.71K","-1.76%"
"2012년 09월 04일","36,950","36,300","37,000","36,300","917.38K","0.82%"
