Date,Close
2009-11-12,2.258
2009-11-13,2.263
2009-11-16,2.179
2009-11-17,2.169
2009-11-18,2.196
2009-11-19,2.161
2009-11-20,2.17
2009-11-23,2.173
2009-11-24,2.107
2009-11-25,2.117
2009-11-30,2.006
2009-12-01,2.031
2009-12-02,2.089
2009-12-03,2.128
2009-12-04,2.248
2009-12-07,2.188
2009-12-08,2.108
2009-12-09,2.133
2009-12-10,2.178
2009-12-11,2.242
2009-12-14,2.286
2009-12-15,2.35
2009-12-16,2.335
2009-12-17,2.225
2009-12-18,2.279
2009-12-21,2.403
2009-12-22,2.453
2009-12-23,2.478
2009-12-28,2.589
2009-12-29,2.579
2009-12-30,2.61
2009-12-31,2.686
2010-01-04,2.652
2010-01-05,2.558
2010-01-06,2.573
2010-01-07,2.6
2010-01-08,2.566
2010-01-11,2.556
2010-01-12,2.482
2010-01-13,2.532
2010-01-14,2.485
2010-01-15,2.419
2010-01-19,2.456
2010-01-20,2.421
2010-01-21,2.362
2010-01-22,2.34
2010-01-25,2.361
2010-01-26,2.353
2010-01-27,2.383
2010-01-28,2.409
2010-01-29,2.348
2010-02-01,2.375
2010-02-02,2.357
2010-02-03,2.402
2010-02-04,2.305
2010-02-05,2.215
2010-02-08,2.263
2010-02-09,2.307
2010-02-10,2.369
2010-02-11,2.374
2010-02-12,2.334
2010-02-16,2.3
2010-02-17,2.388
2010-02-18,2.444
2010-02-19,2.463
2010-02-22,2.448
2010-02-23,2.353
2010-02-24,2.36
2010-02-25,2.338
2010-02-26,2.284
2010-03-01,2.283
2010-03-02,2.273
2010-03-03,2.27
2010-03-04,2.275
2010-03-05,2.343
2010-03-08,2.355
2010-03-09,2.338
2010-03-10,2.378
2010-03-11,2.41
2010-03-12,2.417
2010-03-15,2.405
2010-03-16,2.348
2010-03-17,2.366
2010-03-18,2.414
2010-03-19,2.451
2010-03-22,2.414
2010-03-23,2.412
2010-03-24,2.57
2010-03-25,2.661
2010-03-26,2.604
2010-03-29,2.599
2010-03-30,2.604
2010-03-31,2.56
2010-04-01,2.581
2010-04-05,2.741
2010-04-06,2.713
2010-04-07,2.611
2010-04-08,2.636
2010-04-09,2.638
2010-04-12,2.593
2010-04-13,2.564
2010-04-14,2.596
2010-04-15,2.562
2010-04-16,2.471
2010-04-19,2.523
2010-04-20,2.544
2010-04-21,2.495
2010-04-22,2.54
2010-04-23,2.593
2010-04-26,2.575
2010-04-27,2.434
2010-04-28,2.517
2010-04-29,2.487
2010-04-30,2.42
2010-05-03,2.478
2010-05-04,2.39
2010-05-05,2.303
2010-05-06,2.144
2010-05-07,2.172
2010-05-10,2.258
2010-05-11,2.248
2010-05-12,2.276
2010-05-13,2.272
2010-05-14,2.149
2010-05-17,2.179
2010-05-18,2.091
2010-05-19,2.11
2010-05-20,2.026
2010-05-21,1.994
2010-05-24,2.018
2010-05-25,1.973
2010-05-26,2.056
2010-05-27,2.185
2010-05-28,2.097
2010-06-01,2.095
2010-06-02,2.132
2010-06-03,2.158
2010-06-04,1.979
2010-06-07,1.968
2010-06-08,1.961
2010-06-09,1.982
2010-06-10,2.108
2010-06-11,2.01
2010-06-14,2.052
2010-06-15,2.083
2010-06-16,2.065
2010-06-17,1.988
2010-06-18,2.016
2010-06-21,2.028
2010-06-22,1.966
2010-06-23,1.915
2010-06-24,1.941
2010-06-25,1.911
2010-06-28,1.834
2010-06-29,1.786
2010-06-30,1.795
2010-07-01,1.795
2010-07-02,1.812
2010-07-06,1.76
2010-07-07,1.776
2010-07-08,1.801
2010-07-09,1.839
2010-07-12,1.829
2010-07-13,1.887
2010-07-14,1.814
2010-07-15,1.741
2010-07-16,1.69
2010-07-19,1.706
2010-07-20,1.675
2010-07-21,1.647
2010-07-22,1.671
2010-07-23,1.729
2010-07-26,1.732
2010-07-27,1.787
2010-07-28,1.707
2010-07-29,1.701
2010-07-30,1.598
2010-08-02,1.64
2010-08-03,1.554
2010-08-04,1.616
2010-08-05,1.577
2010-08-06,1.506
2010-08-09,1.526
2010-08-10,1.482
2010-08-11,1.426
2010-08-12,1.463
2010-08-13,1.46
2010-08-16,1.383
2010-08-17,1.43
2010-08-18,1.443
2010-08-19,1.392
2010-08-20,1.449
2010-08-23,1.423
2010-08-24,1.331
2010-08-25,1.383
2010-08-26,1.386
2010-08-27,1.496
2010-08-30,1.393
2010-08-31,1.342
2010-09-01,1.409
2010-09-02,1.424
2010-09-03,1.485
2010-09-07,1.407
2010-09-08,1.454
2010-09-09,1.566
2010-09-10,1.583
2010-09-13,1.507
2010-09-14,1.428
2010-09-15,1.443
2010-09-16,1.462
2010-09-17,1.44
2010-09-20,1.417
2010-09-21,1.311
2010-09-22,1.311
2010-09-23,1.321
2010-09-24,1.352
2010-09-27,1.281
2010-09-28,1.225
2010-09-29,1.287
2010-09-30,1.281
2010-10-01,1.271
2010-10-04,1.227
2010-10-05,1.206
2010-10-06,1.164
2010-10-07,1.14
2010-10-08,1.101
2010-10-12,1.136
2010-10-13,1.12
2010-10-14,1.175
2010-10-15,1.186
2010-10-18,1.118
2010-10-19,1.097
2010-10-20,1.09
2010-10-21,1.126
2010-10-22,1.145
2010-10-25,1.173
2010-10-26,1.247
2010-10-27,1.304
2010-10-28,1.237
2010-10-29,1.179
2010-11-01,1.163
2010-11-02,1.153
2010-11-03,1.121
2010-11-04,1.031
2010-11-05,1.095
2010-11-08,1.13
2010-11-09,1.255
2010-11-10,1.208
2010-11-11,1.208
2010-11-12,1.348
2010-11-15,1.493
2010-11-16,1.467
2010-11-17,1.457
2010-11-18,1.488
2010-11-19,1.512
2010-11-22,1.433
2010-11-23,1.386
2010-11-24,1.558
2010-11-29,1.497
2010-11-30,1.464
2010-12-01,1.622
2010-12-02,1.675
2010-12-03,1.619
2010-12-06,1.522
2010-12-07,1.752
2010-12-08,1.852
2010-12-09,1.899
2010-12-10,1.954
2010-12-13,1.892
2010-12-14,2.044
2010-12-15,2.099
2010-12-16,2.067
2010-12-17,1.953
2010-12-20,1.953
2010-12-21,1.962
2010-12-22,2.001
2010-12-23,2.052
2010-12-27,2.049
2010-12-28,2.15
2010-12-29,2.029
2010-12-30,2.07
2010-12-31,2.016
2011-01-03,2.021
2011-01-04,2.017
2011-01-05,2.158
2011-01-06,2.083
2011-01-07,1.956
2011-01-10,1.928
2011-01-11,1.962
2011-01-12,1.969
2011-01-13,1.906
2011-01-14,1.929
2011-01-18,1.952
2011-01-19,1.932
2011-01-20,2.051
2011-01-21,2.02
2011-01-24,2.011
2011-01-25,1.933
2011-01-26,2.001
2011-01-27,1.982
2011-01-28,1.926
2011-01-31,1.952
2011-02-01,2.021
2011-02-02,2.099
2011-02-03,2.159
2011-02-04,2.277
2011-02-07,2.275
2011-02-08,2.385
2011-02-09,2.316
2011-02-10,2.397
